rank_band,score,floor_id,role,label,sources,created_in_code,registered_family,seen_telegram,in_db,tg_count,tg_first_seen,db_fired,db_with_outcome,db_wins,db_g0,db_first_fired,tg_example,notes
CREATED_ONLY,0.0,RES_AUTO_WIN,RESULT,RES_AUTO_WIN,CODE,True,False,False,False,0,,0,0,0,0,,,code:PROFITABLE_CARD_TYPES.md; code:luxury_building_stack.py; code:luxury_building_stack.json
CREATED_ONLY,0.0,RES_G2_MISS_STOP,RESULT,RES_G2_MISS_STOP,CODE,True,False,False,False,0,,0,0,0,0,,,code:PROFITABLE_CARD_TYPES.md
CREATED_ONLY,0.0,RES_GREEN_G0,RESULT,RES_GREEN_G0,CODE,True,False,False,False,0,,0,0,0,0,,,code:PROFITABLE_CARD_TYPES.md; code:TEMPLATE_CENSUS.md; code:luxury_building_stack.py; code:luxury_building_stack.json
CREATED_ONLY,0.0,RES_GREEN_G1,RESULT,RES_GREEN_G1,CODE,True,False,False,False,0,,0,0,0,0,,,code:PROFITABLE_CARD_TYPES.md
CREATED_ONLY,0.0,RES_LOSS_KIND,RESULT,RES_LOSS_KIND,CODE,True,False,False,False,0,,0,0,0,0,,,code:PROFITABLE_CARD_TYPES.md; code:luxury_building_stack.py; code:luxury_building_stack.json
CREATED_ONLY,0.0,RES_ORACLE_CARD,RESULT,RES_ORACLE_CARD,CODE,True,False,False,False,0,,0,0,0,0,,,code:PROFITABLE_CARD_TYPES.md
CREATED_ONLY,0.0,RES_STATE,RESULT,RES_STATE,CODE,True,False,False,False,0,,0,0,0,0,,,code:telegram_outbox.py
CREATED_ONLY,0.0,RES_WIN_KIND,RESULT,RES_WIN_KIND,CODE,True,False,False,False,0,,0,0,0,0,,,code:PROFITABLE_CARD_TYPES.md; code:TEMPLATE_CENSUS.md; code:luxury_building_stack.py; code:luxury_building_stack.json
NOISE,50.0,ROOM_RELAY,ROOM_RELAY,Room relay / placar,REGISTERED|TELEGRAM,True,True,True,False,293992,2026-03-19 21:46:17,0,0,0,0,,📡 @room …,High-volume noise class
NOISE,50.0,RESULT_BANNER_FAMILY,RESULT,RESULT_BANNER_FAMILY,CODE|TELEGRAM,True,False,True,False,40760,2026-03-20 10:54:59,0,0,0,0,,🟡🟡 EMPATE — PROTEÇÃO ATIVADA 🟡🟡,code:skin_census.py; code:test_skin_census.py; collapsed_banner
NOISE,50.0,OPS_MANUAL_RESULT_HINT,RESULT,OPS_MANUAL_RESULT_HINT,CODE|TELEGRAM_UNMAPPED,True,False,True,False,11474,2026-03-19 22:54:09,0,0,0,0,,📊 SEQUENCE PREDICTION,code:skin_census.py; code:REPLIT_TELEGRAM_TYPE_ARCHAEOLOGY.sh; unmapped_telegram
NOISE,50.0,OPS_ROOM_QUARANTINE,OPS,OPS_ROOM_QUARANTINE,CODE|TELEGRAM,True,False,True,False,7541,2026-03-22 20:21:46,0,0,0,0,,🔒 Auto-quarantine: @rqdados muted for 2h after 5 consecutive losses. Use /unmute to release early.,code:skin_census.py; code:test_skin_census.py; collapsed_quarantine
NOISE,32.65,OPS_DELIVERY_AUDIT,OPS,OPS_DELIVERY_AUDIT,CODE|TELEGRAM,True,False,True,False,3265,2026-05-07 16:17:28,0,0,0,0,,🚨 [DELIVERY AUDIT] 2 CRITICAL issue(s),code:skin_census.py; collapsed_delivery_audit
NOISE,12.01,OPS_GATE_HEALTH_DUMP,OPS,OPS_GATE_HEALTH_DUMP,CODE|TELEGRAM,True,False,True,False,1201,2026-05-02 15:14:46,0,0,0,0,,🔴 [dynamic_threshold_bad_hour  ] saved=294 blocked_wins=297 net=-3 (49.7% prevent),code:skin_census.py; collapsed_gate_dump
